Quantity,Model No,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price ,Suplier,image,Product clip,Currency
20,433014173,Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,Mac,,1.37kg,6160.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
10,921419524,Apple,Macbook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac,,1.34kg,890.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
5,258546179,HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,NoOS,,1.86kg,900.00 ,flipcart,https://tinyurl.com/72sczxm5,https://tinyurl.com/4e3ttnsm,Euros
7,893369233,Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,Mac,,1.83kg,2537.45 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
13,343634478,Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,Mac,,1.37kg,1803.60 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
23,836349702,Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows,10,2.1kg,400.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
32,199743772,Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac,X,2.04kg,2139.97 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
20,914044990,Apple,Macbook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac,,1.34kg,1158.70 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
10,372770228,Asus,ZenBook UX430UN,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows,10,1.3kg,1495.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
5,132019529,Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,770.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
